location,Fuel,System boundary,Source,HHV (GJ kg-1),Energy consumption (GJ kg -1),CO2 (kg kg-1),CO2 biogenic (kg kg-1),CH4 (kg kg-1),N2O (kg kg-1),CO (kg kg-1),NH3 (kg kg-1),NO2 (kg kg-1),SO2 (kg kg-1),NMVOC (kg kg-1),PM (kg kg,SF6 (kg kg-1),NO3 to water (kg kg-1),PO4 (kg kg-1),P (kg kg-1)
Manitoba,diesel,cradle to end user,"Brentrup et al. 2004, GHGenius",0.04577,0.01496679,1.0060246,0,0.006238451,0.0000277,0.000618353,0,0.002655118,0.002746658,0.000199557,0.000171912,0,0,0,0
Manitoba,lubricating oil,cradle to end user,"Brentrup et al. 2004, GHGenius",0.04554,0.010515186,0.6744474,0,0.0056925,0.0000124,0.000371561,0,0.002052488,0.001702285,0.0000167,0.0000876,0,0,0,0
Manitoba,natural gas,cradle to end user,"Brentrup et al. 2004, GHGenius",0.05223,0.006314607,0.35955132,0,0.008106096,0.0000102,0.00029395,0,0.002181125,0.000374802,0.00017262,0.0000183,0,0,0,0
Manitoba,coal,cradle to end user,"Brentrup et al. 2004, GHGenius",0.02397,0.000322157,0.10050621,0,0.00066325,0.00000349,0.0000474,0,0.0000356,0.0000198,0.00000713,0.00000883,0,0,0,0
Manitoba,petrol,cradle to end user,"Brentrup et al. 2004, GHGenius, GREET model",0.04654,0.014073696,0.963378,0,0.00625963,0.0000355,0.000665522,0,0.002586693,0.002616944,0.001247272,0.000195328,0,0,0,0
US,coal,cradle to end user,"GHGgenius, GREET",0.02397,0.0004794,1.884042,0,0.10302306,0.10302306,0.10302306,0,0.10302306,0.10302306,0.10302306,0.10302306,0,0,0,0
US,fuel oil,cradle to end user,"GHGenius, GREET",0.04554,0.008306496,0.5815458,0,0.008953164,0.0000225,0.000821997,0,0.001958675,0.001387604,0.000199602,0.000928561,0,0,0,0
Canada,diesel,cradle to end user,"GHGenius, GREET",0.04577,0.013058181,0.8334717,0,0.007199621,0.0000321,0.000803,0,0.002497211,0.003100002,0.000224822,0.000217499,0,0,0,0
Canada,Coking coal,cradle to end user,"GHGenius, GREET",0.02397,0.000529737,0.11038185,0,0.001668791,0.00000413,8.41E-05,0,0.000425228,4.44E-05,0.000013603,1.68E-05,0,0,0,0
Canada,fuel oil,cradle to end user,"GHGenius, GREET",0.04554,0.007937622,0.5155128,0,0.00653499,1.67E-05,0.4972968,0,0.001898563,0.001522858,0.000181887,9.07E-05,0,0,0,0
Canada,natural gas,cradle to end user,"GHGenius, GREET",0.05223,0.007557681,0.43909761,0,0.0083568,1.12E-05,0.000346703,0,0.002378032,0.000536402,0.00018082,0.00003115,0,0,0,0
Canada,lubricating oil,cradle to end user,"GHGenius, GREET",0.04554,0.007937622,0.5155128,0,0.00653499,1.67E-05,0.4972968,0,0.001898563,0.001522858,0.000181887,9.07E-05,0,0,0,0
